1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
176,109,291,1012,75,58,46,177,94,189,120,87,64,52,0,0,,4
52,86,266,971,77,80,47,184,106,183,133,86,72,51,0,0,,4
53,79,245,922,80,96,46,186,108,175,141,84,77,52,5,0,,4
62,76,242,926,85,120,48,192,99,171,140,90,77,52,6,0,,4
58,58,219,903,88,122,45,196,110,192,153,91,80,54,5,1,,4
73,81,227,867,86,126,43,196,111,183,161,90,85,55,9,4,,4
86,111,230,830,86,138,43,198,107,174,167,90,84,57,20,4,,4
74,141,235,527,9,409,30,52,0,0,198,0,34,55,12,0,,4
247,257,221,0,407,517,24,0,324,295,199,265,28,52,234,111,,4
226,254,301,606,332,432,46,46,295,167,194,37,38,52,66,70,,4
198,199,235,370,274,378,37,54,288,223,187,159,67,54,129,128,,4
217,238,265,402,296,402,46,32,281,233,192,205,54,55,113,77,,4
227,266,293,519,317,442,47,38,305,246,182,235,52,56,89,66,,4
214,248,272,495,296,433,44,47,296,240,189,237,58,56,62,58,,4
202,219,240,445,298,438,40,38,290,232,187,223,59,57,81,58,,4
199,214,217,309,265,432,41,39,268,131,194,149,50,58,124,28,,4
218,267,257,333,287,455,44,42,284,199,187,201,56,59,110,47,,4
210,266,250,291,281,456,43,48,296,193,184,182,61,59,104,64,,4
198,244,231,300,273,446,43,48,288,198,188,192,62,59,96,53,,4
183,214,238,480,249,422,43,56,227,207,192,254,56,57,74,23,,4
172,112,141,15,0,188,25,42,122,221,102,95,71,70,49,204,,4
55,67,114,0,0,146,27,70,96,146,110,67,79,75,0,189,,4
118,119,148,39,63,100,45,121,87,142,89,258,102,76,58,166,,4
119,115,164,201,45,115,47,134,66,105,97,233,102,78,45,165,,4
88,92,116,0,89,202,35,42,134,261,91,241,96,81,205,208,,4
94,102,153,269,85,184,46,71,104,217,92,266,96,82,114,153,,4
121,113,142,166,80,151,46,106,124,179,88,268,102,85,92,170,,4
116,133,160,208,82,183,41,84,137,217,90,258,103,89,125,164,,4
102,110,172,411,27,144,44,108,112,107,111,181,101,88,61,171,,4
109,97,148,360,0,174,50,124,58,129,122,231,108,91,14,182,,4
117,119,162,374,26,178,50,128,58,120,126,215,105,90,54,154,,4
131,143,170,327,24,178,42,136,62,128,123,210,111,90,48,151,,4
122,130,163,337,15,171,44,145,66,127,123,208,118,90,48,158,,4
112,99,135,309,11,149,38,150,70,116,119,197,126,90,61,178,,4
